pid	tag	subtype	desc	verdict	id_or_type	arabic_canonical	latin	note_for_idmaster	evidence	confidence	group
AIND-D03767	orgName	ref	المسجد المكي	NEW:I	NEW:I	المسجد الحرام | الحرم المكي | المسجد المكي	al-Masjid al-Ḥarām | al-Masjid al-Makkī	D00889「الحرم المكي」と同一実体（G-HARAM）。登録 ID は wd:Q428858 を推奨（既に本プロジェクトの D03779 で使用、ID-Master 注記 TMP-I-00120/TMP-O-00201 参照）。ID-Master 本体には未登録	"XML: <state n=""2"" type=""office"" ref=""#TMP-O-00033""><label>فراش</label><placeName ref=""gn:104515"">مكة</placeName><orgName ref=""#NEEDID"">المسجد المكي</orgName>／corpus D03767「عبد الرحمن بن محمد بن عبد الله الحضرمي العطار الفراش بالمسجد المكي」"	H	G-HARAM
AIND-D03768	bibl	ref	مشيخته / Mashyakhatuhu	NEW:T	NEW:T	مشيخة عبد الغالب الماكسيني	Mashyakhat ʿAbd al-Ghālib al-Māksīnī	所有代名詞「مشيخته」の指示対象は直前の師 الزين عبد الغالب بن محمد الماكسيني。その伝承者目録（マシュヤハ）。既存の同型 Text: مشيخة الفخر(T-00004)・مشيخة الرازي(T-00100)・المنتقى من مشيخة ابن كليب(T-00125)。ar-Latn行と同一判定	"XML: <relation subtype=""teacher"" n=""2"" active=""#TMP-P-000851"">…<bibl ref=""#NEEDID"">مشيخته</bibl>／corpus D03768「سمع على ابن أبي التائب وعلى الزين عبد الغالب بن محمد الماكسيني مشيخته وغيرهما وحدث」"	H	
AIND-D03771	bibl	ref	ألفية النحو / Alfiyyat al-Naḥw	EXIST	Q4721943	ألفية | ألفية ابن مالك | ألفية النحو	Alfīya | Alfiyyat Ibn Mālik	イブン・マーリクの文法千行詩。wd 付き行を優先。⚠ID-Master に重複行あり（Text「ألفية ابن مالك」TMP-T-00080）→ Q4721943 への統合と異綴「ألفية النحو」併記を推奨。ハディース学の ألفية الحديث(T-00101) とは別書。ar-Latn行と同一判定	ID-Master行「Text | ألفية | Alfīya | Q4721943 | 」＋「Text | ألفية ابن مالك |  | TMP-T-00080 | 」／corpus D03771「وحفظ ألفية النحو وعرضها على أبي حامد بن الضياء في سنة أربع وأربعين」（XML の desc field は wd:Q1866303 النحو）	H	
AIND-D03781	bibl	ref	نخبة الفكر وشرحها / Nukhbat al-fikr wa-sharḥuhā	EXIST	TMP-T-00061	نخبة الفكر	Nukhbat al-Fikr	既登録。⚠原文「النخبة وشرحها」の「شرحها」＝著者自注 نزهة النظر は別書のため、厳密には別 Text（NEW:T نزهة النظر）を立てるか、bibl を2要素に分割することを推奨（→要判断）。ar-Latn行と同一判定	ID-Master行「Text | نخبة الفكر | Nukhbat al-Fikr | TMP-T-00061 | 」／corpus D03781「ممن قرأ علي في النخبة وشرحها」（師 active=wd:Q4120128＝サハーウィー本人）	H	
AIND-D03798	state	office	مشيخة	EXIST	Q7492880	مشيخة	mashyakha	既登録の汎用シャイフ職。祖父が本人の適格を認めて任じたザビードのスーフィー／学問的長職。⚠ID-Master の Arabic 表記「مشـيخة」にはタトウィール（ـ）が混入しており、正規化を推奨	ID-Master行「Office | مشـيخة | mashyakhat | Q7492880 | 」／corpus D03798「واستوطن هذا زبيد واشتغل بالعلوم حتى مهر في الفقه والأدب والتصوف ونصبه جده للمشيخة لما تحقق أهليته」	H	
AIND-D03829	state	office	خادم الفقراء	NEW:O	NEW:O	خادم الفقراء	khādim al-fuqarāʾ	スーフィー修行者（الفقراء）に仕える世話役。ダミエッタ。既存の خادم 系（خادم الرباط O-00200／خادم السبيل O-00184／خادم قبة العباس O-00153）と同型で、対象が人的共同体である点が新規	"XML: <state type=""office"" ref=""#NEEDID""><label>خادم الفقراء</label><placeName ref=""gn:358048"">دمياط</placeName>／corpus D03829「عبد الرحمن بن يوسف الدمياطي خادم الفقراء بها」"	H	
AIND-D03845	affiliation	employed	البيمارستان بمكة	NEW:I	NEW:I	البيمارستان بمكة	al-Bīmāristān bi-Makka	マッカの施療院。⚠既登録の البيمارستان المنصوري(TMP-I-00034)・その関連職(O-00025/O-00148)はいずれもカイロで別実体。同一項の state・orgName 行と同一実体	"XML: <affiliation n=""1"" type=""employed"" ref=""#NEEDID""><orgName>البيمارستان بمكة</orgName>／corpus D03845「عبد الرحمن شيخ البيمارستان بمكة ، مات بها في شوال سنة ست وأربعين」／ID-Master に「بمكة」を含む Bīmāristān 行なし"	H	G-BIMARISTAN-MAKKA
AIND-D03845	state	office	البيمارستان بمكة（XML実体は office ラベル「شيخ البيمارستان」）	NEW:O	NEW:O	شيخ البيمارستان	shaykh al-bīmāristān	施療院長職。既存 نظر البيمارستان(O-00148、カイロ・マンスーリー)・مستوفي البيمارستان المنصوري(O-00025) とは職掌が異なる。orgName 側は G-BIMARISTAN-MAKKA の NEW:I を参照	"XML: <state n=""1"" type=""office"" ref=""#NEEDID""><label>شيخ البيمارستان</label><placeName ref=""gn:104515"">مكة</placeName><orgName ref=""#NEEDID"">البيمارستان بمكة</orgName>"	H	G-BIMARISTAN-MAKKA
AIND-D03845	orgName	ref	البيمارستان بمكة	NEW:I	NEW:I	البيمارستان بمكة	al-Bīmāristān bi-Makka	同上（state 内 orgName）。G-BIMARISTAN-MAKKA と同一番号を付与	"XML: <state n=""1"" …><orgName ref=""#NEEDID"">البيمارستان بمكة</orgName>"	H	G-BIMARISTAN-MAKKA
AIND-D03864	placeName	ref	بلاده	KEEP	KEEP			「彼の故国」＝所有代名詞句で地名を含まない。本項主のニスバは البمي الكرماني（キルマーンのバム）だが、原文は帰還先を明示せずニスバからの逆算になるため ID を出さない。cf. 既登録 كرمان(TMP-L-00205)／أبرقوه(TMP-L-00206) はいずれも本文に地名が明記される事例	"XML: <event type=""travel"" n=""2""><placeName ref=""#NEEDID"">بلاده</placeName><note>Travelled back to his homeland</note>／corpus D03864「وكتبت له اجازة في كراسة وسافر إلى بلاده」"	H	
AIND-D03992	affiliation	study	مكتب ابن أسد	NEW:I	NEW:I	مكتب ابن أسد	Maktab Ibn Asad	カイロの初等学塾（クッターブ）。創設者／運営者 ابن أسد＝#AIND-D00540。サハーウィー自身が本項主と机を並べた場所。Waka裁定（2026-09-03）により、人物IDで代替せず機関として TMP-I を発行する（XML の既存注記「機関としては未登録（人物IDで代替可のため TMP-I は発行せず）」を更新する必要あり）	"XML: <affiliation n=""1"" type=""study"" ref=""#NEEDID""><orgName>مكتب ابن أسد</orgName>／corpus D03992「ونشأ بها فحفظ القرآن وغيره ورافقني يسيرا في مكتب ابن أسد」／ID-Master に「مكتب」0件"	H	
AIND-D04021	affiliation	employed	جامع القرويين	NEW:I	NEW:I	جامع القرويين | القرويين	Jāmiʿ al-Qarawiyyīn	フェズ（فاس＝TMP-L-00051）のカラウィーイーン・モスク。本項主が خطيب を務めた。登録 ID 候補 wd:Q12204282（Al-Qarawiyyin Mosque）は未実照合のため、Waka の実照合後に確定すること。同一項の orgName 行と同一実体	"XML: <affiliation n=""1"" type=""employed"" ref=""#NEEDID""><orgName>جامع القرويين</orgName>／corpus D04021「عبد العزيز بن موسى الخطيب أبو محمد الوريا علي الفاسي خطيب جامع القرويين」／ID-Master に「القرويين」0件"	H	G-QARAWIYYIN
AIND-D04021	orgName	ref	جامع القرويين	NEW:I	NEW:I	جامع القرويين | القرويين	Jāmiʿ al-Qarawiyyīn	同上（state n=1 خطيب=wd:Q932945 に付随する orgName）。G-QARAWIYYIN と同一番号を付与	"XML: <state n=""1"" type=""office"" ref=""wd:Q932945"">…<orgName ref=""#NEEDID"">جامع القرويين</orgName>"	H	G-QARAWIYYIN
AIND-D05618	affiliation	employed	جامع حسن بن الطويل الشهيد	EXIST	TMP-I-00109	جامع حسن بن الطويل الشهيد	Jāmiʿ Ḥasan b. al-Ṭawīl al-Shahīd	既登録（本項D05618を出現箇所として明記）。ダミエッタ。state 側の職 إمام は wd:Q125482 で解決済	ID-Master行「Institution | جامع حسن بن الطويل الشهيد | Jāmiʿ Ḥasan b. al-Ṭawīl al-Shahīd | TMP-I-00109 | D05618 ダミエッタ」／corpus D05618「أبو الحسن الدمياطي المقري أمام جامع حسن بن الطويل الشهيد بدمياط」	H	
AIND-D05621	orgName	ref	دواوين	EXIST	TMP-I-00026	دواوين (غير محددة)	Dawāwīn (unspecified)	既登録の「特定できないディーワーンの場合」用の行に合致。原文は「شد الدواوين」（職側は #TMP-O-00104 で解決済）で対象官庁を特定しない	"ID-Master行「Institution | دواوين (غير محددة) |  | TMP-I-00026 | 特定できないディーワーンの場合」／XML: <state n=""2"" type=""office"" ref=""#TMP-O-00104""><label>شد الدواوين</label><orgName ref=""#NEEDID"">دواوين</orgName>／corpus D05621「ولي الوزارة وشد الدواوين وغير ذلك」"	H	
AIND-D05628	affiliation	affiliated	زاويته	EXIST	TMP-I-00112	زاوية علي بن محمد الركاب | زاوية الركاب	Zāwiyat ʿAlī b. Muḥammad al-Rikāb	既登録（本項D05628を出現箇所として明記）。所有代名詞「زاويته」＝本項主自身のザーウィヤ。所在 ميدان القمح は #TMP-L-00209 で解決済	ID-Master行「Institution | زاوية علي بن محمد الركاب | زاوية الركاب | Zāwiyat ʿAlī b. Muḥammad al-Rikāb | TMP-I-00112 | D05628 カイロ・ميدان القمح 近傍」／corpus D05628「ودفن بزاويته على الطريق برأس ميدان القمح」	H	
AIND-D05635	affiliation	employed	جامع أصلم	EXIST	TMP-I-00108	جامع أصلم	Jāmiʿ Aṣlam	既登録（本項D05635を出現箇所として明記）。カイロ。state 側の職 الشهادة は #TMP-O-00050 で解決済	ID-Master行「Institution | جامع أصلم | Jāmiʿ Aṣlam | TMP-I-00108 | D05635 カイロ」／corpus D05635「وتكسب بالشهادة رفيقا للزين عبد القادر بن شعبان وغيره عند جامع أصلم … بل وخطب بالجامع المذكور」	H	
AIND-D05639	orgName	ref	الديوان	NEW:I	NEW:I	ديوان جدة | الديوان (بجدة)	Dīwān Jidda	ジッダの徴税ディーワーン（税関）。本項主はその مستوفي（職は #TMP-O-00191 で解決済、地名 جدة＝#TMP-L-00036）。cf. 既登録 ديوان السلطان(TMP-I-00050)・متولي مكس جدة(TMP-O-00124)・أمر المكس(TMP-O-00176、D03027 ジッダ)。⚠所在が明示されるため汎用 دواوين (غير محددة)(TMP-I-00026) ではなく個別登録を推奨するが、汎用行の適用も可（→要判断）	"XML: <state n=""1"" type=""office"" ref=""#TMP-O-00191""><label>مستوفي الديوان</label><placeName ref=""#TMP-L-00036"">جدة</placeName><orgName ref=""#NEEDID"">الديوان</orgName>／corpus D05639「علي بن محمد اليماني مستوفي الديوان بجدة」"	M	
