pid	subtype	desc	verdict	id_or_new	arabic_canonical	latin	note_for_idmaster	evidence	confidence	group
AIND-D03842	father	أبوه	KEEP	KEEP				原文 D03842「عبد الرحمن القرموني الفاسي ، كان هو وأبوه من علماء فاس ومدرسيها」＝父は名・クンヤ・ラカブいずれも記されず「أبوه」のみ。本項主自身のナサブが「عبد الرحمن القرموني الفاسي」で父称(بن …)を欠くため1段ずらす復元も不可能（識別要素ゼロ）。フェズの学者・教授という属性のみでは同定不能（Waka裁定 KEEP 条件「名不詳」）	H	
AIND-D03843	other	المقريزي	KEEP	KEEP			ID-Master 追加不要。#NEEDID は既存の wd:Q293604（ID-Master「تقي الدين أحمد بن علي بن عبد القادر المقريزي | Q293604」）に差し替えるべき誤付与（FIX 相当・新規番号不要）。	原文 D03843「مات مقتولا بصفد في ذي القعدة سنة تسع … قاله المقريزي」＝史料提供者としてのマクリーズィーで、ID-Master に Q293604 として登録済み	H	
AIND-D03879	father	الإمام	NEW	NEW	محمد بن أبي بكر الرومي الحنفي	Muḥammad b. Abī Bakr al-Rūmī al-Ḥanafī	出現項: D03879（父）。子=عبد الرحيم بن محمد بن أبي بكر الرومي الحنفي（#AIND-D03879）。D03879 の見出しナサブ「عبد الرحيم بن محمد بن أبي بكر الرومي الحنفي」から1段ずらして復元（ニスバ الرومي・法学派 الحنفي は出自・家系属性として父に及ぶ）。⚠relation の desc「الإمام」はサハーウィーの推測「أظنه ابن الإمام الآتي فيمن لم يسم أبوه」に由来し、父を「الإمام」と同定することは確定できないため canonical に含めない（ラカブ扱いにしない）。父子関係そのものは見出しのナサブから確実。⚠2026-09-01 裁定 §D-5 は「أظنه」を理由に #NEEDID 保持としていたが、Waka裁定(a)（裸の名の近親にも復元形で TMP-P を発行）に照らし NEW に変更する提案＝要再裁定。corpus に本伝なし。	corpus見出し #AIND-D03879「$ عبد الرحيم بن محمد بن أبي بكر الرومي الحنفي . أظنه ابن الإمام الآتي فيمن لم يسم أبوه」／「الإمام الرومي」「الامام الرومي」全文検索=0件。近接する #AIND-D03891「عبد الرحيم بن الامام الحنفي زين الدين أحد النواب」は「من لم يسم أبوه」型の別立項で、サハーウィーが同一人物かと推測した相手	M	
AIND-D03898	father	حسن	NEW	NEW	حسن الدنجيهي	Ḥasan al-Danjīhī	出現項: D03898（父）。子=عبد الرزاق بن حسن الدنجيهي ثم القاهري الشافعي（#AIND-D03898、سعيد السعداء のスーフィー、896年没）。D03898 の見出し「عبد الرزاق بن حسن الدنجيهي ثم القاهري」から1段ずらして復元。ニスバ الدنجيهي（下エジプトの村 دنجية=TMP-N-00981）は出身地ニスバとして父に及ぶ一方、「ثم القاهري」は子自身の移住を示すため付さない。⚠初版の TMP-P-000204 は ID-Master 登録「حسن＝AIND-D0106 の息子」＝別人への流用のため使用不可。corpus に本伝なし。	corpus見出し #AIND-D03898「$ 488 عبد الرزاق بن حسن الدنجيهي ثم القاهري الشافعي أحد صوفية سعيد السعداء وصلحائها」／ニスバ الدنجيهي 保有9件（D01143 أحمد بن عمر・D02857 خطاب بن عمر・D03565 عبد الرحمن بن أحمد・D04151 عبد القادر بن علي・D04331 عبد اللطيف بن عثمان 等）に حسن は存在せず、独立本伝なし	M	
AIND-D03909	father	أبو الفرج	KEEP	KEEP				原文 D03909「عبد الرزاق بن أبي الفرج والي قطيا. مات سنة ثمان.」＝父は汎用クンヤ「أبو الفرج」のみで、ニスバ・家名・ラカブ・職いずれも付されない（「والي قطيا」は本項主の職）。復元形は「أبو الفرج」にとどまり識別要素を欠く。§D-4 の既裁定（#NEEDID 保持）を維持	H	
AIND-D03936	son	ولده	KEEP	KEEP				原文 D03936「ونزل ولده في قراء الشيخونية وفي غيرها」＝息子は名不詳。本項主自身が「عبد السلام الشرنوبي البحيري ثم القاهري المكي」で父称を欠くため1段下げる復元も不可能。シャイフーニーヤ（TMP-I-）の読誦者という属性のみでは同定不能（KEEP 条件「名不詳」）	H	
AIND-D03936	patron	أزبك اليوسفي	KEEP	KEEP				原文 D03936「خدم عند أزبك اليوسفي اماما ثم طرده」。corpus の同名は #AIND-D01871「أزبك اليوسفي الخازندار ويقال له ناظر الخاص」および同項が言及する「أزبك اليوسفي الشهير بفستق」の2名で、原文に判別要素がなく確定不能（KEEP 条件「複数候補で確定不能」）。校閲で追加史料により確定できれば #AIND-D01871 が第一候補	M	
AIND-D03936	patron	تمراز	KEEP	KEEP				原文 D03936「فانتمى لتمراز ، وسافر معه للبحيرة」。corpus に تمراز は多数（#AIND-D02281「تمراز البكتمري」ほか）存在し、原文はニスバもラカブも与えないため確定不能（KEEP 条件「複数候補で確定不能」）	M	
AIND-D04047	father	نفيس	KEEP	KEEP				原文 D04047「عبد الغفار بن نفيس شيخ معمر من نقباء المقام الابراهيمي الدسوقي」。復元形は「نفيس」のみ。「الدسوقي」は المقام الابراهيمي（ドスークのイブラーヒーム・ダスーキー廟）に係る地名要素で父のニスバではなく、「شيخ معمر / من نقباء …」も本項主の属性。ニスバも家名もない単一のイスム＝識別要素を欠く（KEEP 条件）。corpus 検索でも「عبد الغفار بن نفيس」は D04047 の1件のみ	H	
AIND-D05632	father	محمد	NEW	NEW	محمد الشامي المدني	Muḥammad al-Shāmī al-Madanī	出現項: D05632（父）。子=علي بن محمد الشامي المدني أحد فراشيها（#AIND-D05632、預言者モスクのفراش、サハーウィーの聴聞者）。D05632 の見出し「علي بن محمد الشامي المدني أحد فراشيها」から1段ずらして復元。الشامي（シャーム出自）・المدني（マディーナ居住）はいずれも家系・出自のニスバとして父に及ぶ。「أحد فراشيها」は本項主の職のため付さない。corpus に本伝なし。⚠ニスバ2つのみの弱い識別＝校閲で KEEP 判断もありうる。	corpus見出し #AIND-D05632「$ 95 علي بن محمد الشامي المدني أحد فراشيها . ممن سمع مني بها」／「محمد الشامي المدني」で始まる本伝見出しは corpus に0件	M	
AIND-D05635	father	محمد	NEW	NEW	محمد القمني البنهاوي الأصل	Muḥammad al-Qamanī al-Banhāwī	出現項: D05635（父）。子=علي بن محمد القمني البنهاوي الأصل（#AIND-D05635、カイロのشاهد・写字生・マムルーク教師、جامع أصلم の説教者）。D05635 の見出しから1段ずらして復元。القمني（قمن）・البنهاوي الأصل（بنها）はいずれも出自ニスバで父に及ぶ。corpus に本伝なし。⚠ニスバのみの弱い識別＝校閲で KEEP 判断もありうる。	corpus見出し #AIND-D05635「$ 97 علي بن محمد القمني البنهاوي الأصل . ممن اشتغل قليلا وتكسب بالشهادة رفيقا للزين عبد القادر بن شعبان」／「محمد القمني」で始まる本伝見出しは corpus に0件（ID-Master 既登録「الزين القمني | TMP-P-000076」はラカブ الزين を持つ別人）	M	
AIND-D05665	father	موسى	NEW	NEW	موسى بن هرون | ابن الزيات	Mūsā b. Hārūn (Ibn al-Zayyāt)	出現項: D05665（父）。カイロの家系 ابن الزيات。子は الشهاب أحمد المقرئ（#AIND-D01670、قراء الجوق の長）と أبو الحسن علي المقري الصوفي（#AIND-D05665、سعيد السعداء のスーフィー、876年没）。D05665 の見出しナサブ「علي بن موسى بن هرون أبو الحسن بن الزيات المقري … ويعرف بابن الزيات」から1段ずらして復元。家名 ابن الزيات は兄弟 #AIND-D01670 も共有する世襲シュフラ。corpus に本伝なし。	corpus見出し #AIND-D05665「$ 124 علي بن موسى بن هرون أبو الحسن بن الزيات المقري أخو الشهاب أحمد الماضي ويعرف بابن الزيات」／#AIND-D01670「$ 653 أحمد بن موسى بن هرون الشهاب القاهري المقرئ ويعرف بابن الزيات」／ニスバ索引 #AIND-D12382「ابن الزيات الشهاب أحمد المقري والصوفي ابنا موسى بن هرون」＝兄弟の父として確証。「موسى بن هرون」で始まる本伝見出しは0件	H	FAM:D05665-ZAYYAT
AIND-D05665	grandfather	هرون	KEEP	KEEP				原文 D05665「علي بن موسى بن هرون أبو الحسن بن الزيات」。祖父は単一のイスム「هرون」のみで、ニスバも家名もラカブも原文に付されない（家名 ابن الزيات は本項主と父・叔父に帰属する形でしか現れない）。復元形「هرون」は識別要素を欠く（KEEP 条件）。corpus に「هرون」単独で始まる該当本伝もなし	M	FAM:D05665-ZAYYAT
AIND-D05667	father	موسى	KEEP	KEEP				原文 D05667「علي بن موسى الحنفي . رأيته كتب في عرض سنة ثلاث وهو غير الماضي فيمن جده إبراهيم」＝サハーウィー自身が同名者との区別のみを述べ、父については「موسى」以外の情報がない。الحنفي は本項主の法学派。復元形は「موسى」のみで識別要素を欠く（KEEP 条件）。⚠「فيمن جده إبراهيم」で参照される別人 علي بن موسى بن إبراهيم と混同しないこと	H	
AIND-D05671	father	نصر	KEEP	KEEP				原文 D05671「علي بن نصر القاهري الفوال بسوق رأس حارة برجوان أحد من يعتقد」。الفوال（豆商=TMP-O-00189/TMP-N-05497）と市場所在地はいずれも本項主自身の生業。القاهري は広域の都市ニスバに過ぎず、復元形「نصر（القاهري）」は識別要素として不十分（KEEP 条件「محمد بن أحمد 程度」に相当）	M	
AIND-D05692	father	يوسف	NEW	NEW	يوسف بن العباس بن عيسى الأندلسي الأصل المكي المؤدب | الجيادي	Yūsuf b. al-ʿAbbās b. ʿĪsā al-Andalusī al-Makkī al-Muʾaddib (al-Jiyādī)	出現項: D05692（父）。原文「المؤدب والده」＝父自身が子弟教育者(مؤدب)であったことが明示される（本項主の職ではない）。家名 الجيادي（أجياد＝メッカの地区名に由来）。子=علي بن يوسف（#AIND-D05692、847年メッカ没、ابن فهد が没年を記録）。D05692 の見出しナサブから1段ずらして復元。corpus に本伝なし。	corpus見出し #AIND-D05692「$ 148 علي بن يوسف بن العباس بن عيسى الأندلسي الأصل المكي المؤدب والده ويعرف بالجيادي . مات بمكة في ذي الحجة سنة سبع وأربعين . أرخه ابن فهد」／「يوسف بن العباس」「الجيادي」全文検索=いずれも D05692 の1件のみ＝独立本伝なし	H	
AIND-D05706	father	فخر الدين	NEW	NEW	فخر الدين بن علي الشغنارقي	Fakhr al-Dīn b. ʿAlī al-Shaghnārqī	出現項: D05706（父）。子=علي شاه بن فخر الدين بن علي الشغنارقي（#AIND-D05706、التقي بن فهد の معجم に記載）。D05706 の見出しナサブから1段ずらして復元（固有名は原文に無くラカブ فخر الدين のみ。ニスバ الشغنارقي=TMP-N-04223 は家系ニスバとして父に及ぶ）。corpus に本伝なし。	corpus見出し #AIND-D05706「$ 161 علي شاه بن فخر الدين بن علي الشغنارقي . ذكره التقي بن فهد في معجمه وبيض」／ニスバ「الشغنارقي」全文検索=D05706 の1件のみ＝一族で他に立項なし	H	
